atomic #	en	de	lb	nl	af	fy	da	sv	no	is	fo	la	fr	es	ca	oc	pt	gl	it	fur	ro	mo	arm	ru	uk	by	pl	kas	cs	sk	sl	hr	sr	bos	mk	bg	lt	lo	sud	cy	ga	gd	gv	kw	br	el	sq	oss	eu	ka	fi	et	hu	tr	kk	uz	tg	mn	ja	zh	th	vi	ms	ar	mt	he	eo											
1	Hydrogen	Wasserstoff	Waasserstoff	Waterstof	Waterstof	Wetterstof	Hydrogen or Brint	Väte	Hydrogen	Vetni or Vatnsefni	Vatnevni or Vetni	Hydrogenium	Hydrogène	Hidrógeno	Hidrogen	Idrogèn	Hidrogéno	Hidróxeno	Idrogeno	Idrogjen	Hidrogen	Hidrogen	Hidroghenu	Водород	Водень	Вадарод	Wodór	Wòdzyk	Vodík	Vodík	Vodik	Vodik	Водоник	"Vodonik, Vodik"	Водород	Водород	Vandenilis	Ūdeņradis	Undnilis	Hydrogen	Hidrigin	Hidrigin	Hiddragien	Hydrojen	Hidrogen	Ύdρογονο	Hidrogjen	Донгуыр	Hidrogenoa	წყალბადი	Vety	Vesinik	Hidrogén	Hidrojen	Сутек	Водород	Gidrogen	Устөрөгч	水素 [suiso]	氫	ไฮโดรเจน	"Hyđrô, Hiđro"	Hidrogen	هيدروجين	Ħajdroġin	מימן	Hidrogeno											
2	Helium	Helium	Helium	Helium	Helium	Helium	Helium	Helium	Helium	Helín	Helium	Helium	Hélium	Helio	Heli	Eli	Hélio	Helio	Elio	Eli	Heliu	Heliu	Heliumu	Гелий	Гелій	Гелій	Hel	Él	Helium	Hélium	Helij	Helij	Хелиjум	Helij	Хелиум	Хелий	Helis	Hēlijs	Helijan	Heliwm	Héiliam	Hèiliam	Hailium	Helyum	Heliom	Ήλιον	Helium	Гелий	Helioa	ჰელიუმი	Helium	Heelium	Hélium	Helyum	Гелий	Гелий	Geli'	Гели	ヘリウム [heriumu]	氦	ฮีเลียม	Heli	Helium	هيليوم	Ħiljum	הליום	Helio											
3	Lithium	Lithium	Lithium	Lithium	Lithium	Lithium	Lithium	Litium	Litium	Litín or Liþín	Lithium	Lithium	Lithium	Litio	Liti	Liti	Lítio	Litio	Litio	Liti	Litiu	Litiu	Litiumu	Литий	Літій	Літый	Lit	Lët	Lithium	Litium	Litij	Litij	Литиjум	Litij	Литиум	Литий	Litis	Litijs	Litijan	Lithiwm	Litiam	Litiam	Litçhey	Lythyum	Litiom	Λιθιο	Litium	Литий	Litioa	ლიტიუმი	Litium	Liitium	Lítium	Lityum	Литий	Литий	Liti'	Лити	リチウム [riteumu]	鋰	ลิเทียม	"Lithi, Liti"	Litium	ليثيوم	Litjum	ליתיום	Litio											
4	Beryllium	Beryllium	Beryllium	Beryllium	Berillium	Beryllium	Beryllium	Beryllium	Beryllium	Beryllín	Beryllium	Beryllium	Béryllium	Berilio	Berilli	Berilli	Berílio	Berilio	Berillio	Berili	Beriliu	Beriliu	Beriliumu	Бериллий	Берилій	Берылій	Beryl	Beril	Beryllium	Berýllium	Berilij	Berilij	Берилиjум	Berilij	Берилиум	Берилий	Berilis	Berilijs	Berilis	Berilliwm	Beirilliam	Beirilliam	Beryllium	Berylyum	Beriliom	Βηρυλλιο	Berilium	Бериллий	Berilioa	ბერილიუმი	Beryllium	Berüllium	Berillium	Berilyum	Бериллий	Бериллий	Berilli'	Берилли	ベリリウム [beririumu]	鈹	เบริลเลียม	Berili	Berilium	بيريليوم	Beriljum	בריליום	Berilio											
5	Boron	Bor	Bor	Boor	Boor	Boar	Bor	Bor	Bor	Bór	Bor	Borium	Bore	Boro	Bor	Bòr	Boro	Boro	Boro	Bôr	Bor	Bor	Boru	Бор	Бор	Бор	Bor	Bòr	Bor	Bór	Bor	Bor	Бор	Bor	Бор	Бор	Boras	Bors	Bāras	Boron	Bórón	Bòron	Boron	Boron	Bor	Βοριο	Bor	Бор	Boroa	ბორი	Boori	Boor	Bór	Bor	Бор	Бор	Bor	Бор	硼素 [houso]	硼	โบรอน	Bo	Boron	بورون	Boron	בור	Borio											
6	Carbon	Kohlenlstoff	Kuelestoff	Koolstof	Koolstof	Koalstof	Carbon or Kulstof	Kol	Karbon	Kolefni	Kolevni	Carbonium	Carbone	Carbono	Carboni	Carbòni	Carbono	Carbono	Carbonio	Carboni	Carbon (ro²: Cărbune)	Carbon (ro²: Cărbune)	Carbune or Cãrbune	Углерод	Вуглець	Вуглярод	Węgiel	Wãdźel	Uhlík	Uhlík	Ogljik	Ugljik	Угšеник	Ugljik	Јаглерод	Въглерод	Anglis	Ogleklis	Anglis	Carbon	Carbón	Carbon	Carboan	Carbon	Karbon	Ανθρακας	Karbon	Æвзалыгуыр	Karbonoa	ნახშირბადი	Hiili	Süsinik	Szén	Karbon	Көміртек	Углерод	Karbon	Нүүрстөрөгч	炭素 [tanso]	碳	คาร์บอน	Cacbon	Karbon	كربون	Karbon	פחמן	Karbono											
7	Nitrogen	Stickstoff	Stéckstoff	Stikstof	Stikstof	Stikstof	Nitrogen or Kvælstof	Kväve	Nitrogen	Nitur or Köfnunarefni	Køvievni	Nitrogenium	Azote	Nitrógeno	Nitrogen	Azòt	Nitrogénio	Nitróxeno	Azoto	Azot	Azot (ro²: Nitrogen)	Azot (ro²: Nitrogen)	Nitroghenu	Азот	Азот	Азот	Azot	Tãcheń	Dusík	Dusík	Dušik	Dušik	Азот	"Dušik, Azot"	Азот	Азот	Azotas	Slāpeklis	Azātas	Nitrogen	Nítrigin	Nìtrigin	Neetragien	Nytrojen	Azot or Nitrogen	Αζωτο	Azot	Азот	Nitrogenoa	აზოტი	Typpi	Lämmastik	Nitrogén	Azot	Азот	Азот	Azot	Азот	窒素 [chisso]	氮	ไนโตรเจน	Nitơ	Nitrogen	نيتروجين	Najtroġin	חנקן	Nitrogeno											
8	Oxygen	Sauerstoff	Sauerstoff	Zuurstof	Suurstof	Soerstof	Oxygen or Ilt	Syre	Oksygen	Súrefni or Ildi	Súrevni or Ilt	Oxygenium	Oxygène	Oxígeno	Oxygen	Oxigèn	Oxigénio	Osíxeno	Ossigeno	Ossigjen	Oxigen	Oxigen	Oxighenu	Кислород	Кисень	Кісларод	Tlen	Krziseń	Kyslík	Kyslík	Kisik	Kisik	Кисеоник	"Kisik, Kiseonik"	Кислород	Кислород	Deguonis	Skābeklis	Degōnijan	Ócsigen	Ocsaigin	Ocsaigin	Ocsygien	Oxyjen	Oksigen	Οxυγονο	Oksigjen	Туаггуыр	Oxigenoa	ჟანგბადი	Happi	Hapnik	Oxigén	Oksijen	Оттек	Кислород	Oksigen	Хүчилтөрөгч	酸素 [sanso]	氧	ออกซิเจน	"Oxy, Oxi"	Oksigen	أكسجين	Oksiġin	חמצן	Oksigeno											
9	Fluorine	Fluor	Fluor	Fluor	Fluoor	Fluor	Fluor	Fluor	Fluor	Flúr	Flúr	Fluorum	Fluor	Flúor	Fluor	Fluòr	Flúor	Flúor	Fluoro	Fluôr	Fluor	Fluor	Fluoru	Фтор	Фтор	Фтор	Fluor	Fluòr	Fluor	Fluór	Fluor	Fluor	Флуор	Fluor	Флуор	Флуор	Fluoras	Fluors	Flōras	Fflworin	Fluairín	Fluairin	Fluoreen	Fluryn	Fluor	Φθοριο	Fluor	Фтор	Fluoroa	ფთორი	Fluori	Fluor	Fluor	Fluor	Фтор	Фтор	Ftor	Фтор	フッ素 [fusso]	氟	ฟลูออรีน	Flo	"Fluorin, Flor"	فلور	Fluorin	פלואור	Fluoro											
10	Neon	Neon	Neon	Neon	Neon	Neon	Neon	Neon	Neon	Neon	Neon	Neon	Néon	Neón	Neó	Neon	Néon	Neon	Neon	Neon	Neon	Neon	Neon	Неон	Неон	"Неон, Нэон"	Neon	Néón	Neon	Neón	Neon	Neon	Неон	Neon	Неон	Неон	Neonas	Neons	Neānas	Neon	Neon	Neon	Neion	Neon	Neon	Νeον	Neon	Неон	Neona	ნეონი	Neon	Neoon	Neon	Neon	Неон	Неон	Neon	Неон	キオン [neon]	氖	นีออน	"Neon, Nê-ông"	Neon	نيون	Neon	ניאון	Neono											
11	Sodium	Natrium	Natrium	Natrium	Natrium	Natrium	Natrium	Natrium	Natrium	Natur or Natrín	Natrium	Natrium	Sodium	Sodio	Sodi	Sòdi	Sódio	Sodio	Sodio	Sodi	Sodiu (ro²: Natriu)	Sodiu (ro²: Natriu)	Natriumu	Натрий	Натрій	Натрый	Sód	Natrijô	Sodík	Sodík	Natrij	Natrij	Натриjум	Natrij	Натриум	Натрий	Natris	Nātrijs	Natrijan	Sodiwm	Sóidiam	Sòidiam	Sodjum	Sodyum	Sodiom or Natriom	Νατριο	Natrium	Натрий	Sodioa	ნატრიუმი	Natrium	Naatrium	Nátrium	Sodyum	Натрий	Натрий	Natri'	Натри	オトリウム [natoriumu]	鈉	โซเดียม	Natri	Natrium	صوديوم	Sodjum	נתרן	Natrio
12	Magnesium	Magnesium	Magnesium	Magnesium	Magnesium	Magnesium	Magnesium	Magnesium	Magnesium	Magnín or Magnesín	Magnesium	Magnesium	Magnésium	Magnesio	Magnesi	Magnèsi	Magnésio	Magnesio	Magnesio	Magnesi	Magneziu	Magneziu	Magneziumu	Магний	Магній	Магній	Magnez	Magnéz	Hořčík	Horčík	Magnezij	Magnezij	Магнезиjум	Magnezij	Магнезиум	Магнезий	Magnis	Magnijs	Magnijan	Magnesiwm	Maignéisiam	Maignèisiam	Magnaishum	Magnysyum	Magnesiom	Μαγνησιο	Magnez	Магний	Magnesioa	მაგნიუმი	Magnesium	Magneesium	Magnézium	Magnezyum	Магний	Магний	Magni'	Магни	マグネシウム [maguneshiumu]	鎂	แมกนีเซียม	Magiê	Magnesium	مغنيسيوم	Magniżjum	מגנזיום	Magnezio
13	Aluminium	Aluminium	Aluminium	Aluminium	Aluminium	Aluminium	Aluminium	Aluminium	Aluminium	Ál	Aluminium	Aluminium	Aluminium	Aluminio	Alumini	Alumini	Alumínio	Aluminio	Alluminio	Alumini	Aluminiu	Aluminiu	Aluminiumu	Алюминий	Алюміній	Алюміній	Glin	Aluminijô	Hliník	Hlinník	Aluminij	Aluminij	Алуминиjум	Aluminij	Алуминиум	Алуминий	Aliuminis	Alumīnijs	Aliuminis	Alwminiwm	Alúmanam	Alùmanam	Ollymin	Alumynyum	Aluminiom	Αργιλιο	Alumin	Алюминий	Aluminioa	ალუმინი	Alumiini	Alumiinium	Alumínium	Alüminyum	Алюминий	Алюминий	Alyumini'	Хөнгөн цагаан	アルミニウム [aruminiumu]	鋁	อะลูมินัม	Nhôm	Aluminium	الومينيوم	Aluminjum	אלומיניום	Aluminio
14	Silicon	Silizium	Silizium	Silicium (Kiezel †)	Silikon (Kiesel †)	Silisium	Silicium	Kisel	Silisium	Kísill	Silicium	Silicium	Silicium	Silicio	Silici	Silici	Silício	Silicio	Silicio	Silici	Siliciu	Siliciu	Silitsiumu	Кремний	Кремній	Крэмній	Krzem	Krzém	Křemík	Kremík	Silicij	Silicij	Силициjум	Silicij	Силициум	Силиций	Silicis	Silīcijs	Silicijan	Sílicon	Sileacón	Sileacon	Shillagon	Sylycon	Silisiom	Πυριτιο	Silicium	Кремний	Silizioa	სიცილიუმი	Pii	Räni	Szilícium	Silisyum	Кремний	Кремний	Silitziy	Цахиур	ケイ素 [keiso]	硅	ซิลิคอน	Silic	Silikon	سيلكون	Silikon	צורן	Silicio
15	Phosphorus	Phosphor	Phosphor	Fosfor	Fosfor	Fosfor	Phosphor or Fosfor	Fosfor	Fosfor	Fosfór	Fosfor	Phosphorus	Phosphore	Fósforo	Fòsfor	Fosfòr	Fósforo	Fósforo	Fosforo	Fosfar	Fosfor	Fosfor	Fosforu	Фосфор	Фосфор	Фосфар	Fosfor	Fòsfòr	Fosfor (Kostík †)	Fosfor	Fosfor	Fosfor	Фосфор	Fosfor	Фосфор	Фосфор	Fosforas	Fosfors	Fāsfaras	Ffósfforws	Fosfar	Fosfaras	Fosfaar	Fosforus	Fosfor	Φωσφορος	Fosfor	Фосфор	Fosforoa	ფოსფორი	Fosfori	Fosfor	Foszfor	Fosfor	Фосфор	Фосфор	Fosfor	"Фосфор, Сүүмэг"	リン [rin]	磷	ฟอสฟอรัส	Photpho	"Fosforus, Posfor"	فوسفور	Fosfru	זרחן	Fosforo
16	Sulphur	Schwefel	Schwiewel	Zwavel	Swael	Swevel	Svovl	Svavel	Svovel	Brennisteinn	Svávul or Brennisteinur	Sulphurium	Soufre	Azufre	Sofre	Sofre	Enxofre	Xofre	Zolfo	Solfar	Sulf	Sulf	Sulfure	Сера	Сірка	Сера	Siarka	Sarka	Síra	Síra	Žveplo	Sumpor	Сумпор	Sumpor	Сулфур	Сяра	Siera	Sērs	Sierā	Sylffwr	"Sulfar (lit. also: Grumastal, Grunnastal, Ruibh)"	Sulfar	Sulfur	Sulfor	Sulfur or Soufr	Θειο	Sulfur	Сондон	Sufrea	გოგირდი	Rikki	Väävel	Kén	Kükürt	Күкірт	Олтингугурт	Sulfur	Хүхэр	硫黄 [iou]	硫	กำมะถัน	Lưu huỳnh	"Sulfur, Belerang"	كبريت	Kubrit	גופרית	Sulfuro
17	Chlorine	Chlor	Chlor	Chloor	Chloor	Gloar	Chlor or Klor	Klor	Klor	Klór	Klor	Chlorium	Chlore	Cloro	Clor	Clòr	Cloro	Cloro	Cloro	Clôr	Clor	Clor	Cloru	Хлор	Хлор	Хлор	Chlor	Chlor	Chlor	Chlór	Klor	Klor	Хлор	Hlor	Хлор	Хлор	Chloras	Hlors	Chlāras	Clorin	Clóirín	Clòirin	Cloreen	Cloryn	Klor	Χλωριο	Klor	Хлор	Kloroa	ქლორი	Kloori	Kloor	Klór	Klor	Хлор	Хлор	Hlor	Хлор	塩素 [enso]	氯	คลอรีน	Clo	"Klorin, Klor"	كلور	Klorin	כלור	Kloro
18	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argon	Argón	Argó	Argon	Argon	Argon	Argo	Argon	Argon	Argon	Argon	Аргон	Аргон	Аргон	Argon	Argón	Argon	Argón	Argon	Argon	Аргон	Argon	Аргон	Аргон	Argonas	Argons	Argānas	Argon	Argón	Argon	Argon	Argon	Argon	Αργο	Argon	Аргон	Argona	არგონი	Argon	Argoon	Argon	Argon	Аргон	Аргон	Argon	Аргон	アルゴン [arugon]	氬	อาร์กอน	Agon	Argon	أرجون	Argon	ארגון	Argono
19	Potassium	Kalium	Kalium	Kalium	Kalium	Kalium	Kalium	Kalium	Kalium	Kalín	Kalium	Kalium	Potassium	Potasio	Potassi	Potassi	Potássio	Potasio	Potassio	Potassi	Potasiu (ro²: Kaliu)	Potasiu (ro²: Kaliu)	Caliumu	Калий	Калій	Калій	Potas	Kali	Draslík	Draslík	Kalij	Kalij	Калиjум	Kalij	Калиум	Калий	Kalis	Kālijs	Kalijan	Potasiwm	Potaisiam	Potaisiam	Potashum	Calyum	Potasiom	Καλιο	Kalium	Калий	Potasioa	კალიუმი	Kalium	Kaalium	Kálium	Potasyum	Калий	Калий	Kali'	Кали	カリウム [kariumu]	鉀	โพแทสเซียม	Kali	Kalium	بوتاسيوم	Potassjum	אשלגן	Kalio
20	Calcium	Kalzium	Kalzium	Calcium	Kalsium	Kalsium	Calcium or Kalcium	Kalcium	Kalsium	Kalsín	Kalsium	Calcium	Calcium	Calcio	Calci	Calci	Cálcio	Calcio	Calcio	Calci	Calciu	Calciu	Caltsiumu	Кальций	Кальцій	Кальцый	Wapń	Kalcéń	Vápník	Vápník	Kalcij	Kalcij	Калциjум	Kalcij	Калциум	Калций	Kalcis	Kalcijs	Kalcijan	Calsiwm	Cailciam	Cailciam	Kelkium	Calcyum	Kalsiom	Ασβεστιο	Kalcium	Кальций	Kaltzioa	კალციუმი	Kalsium	Kaltsium	Kalcium	Kalsiyum	Кальций	Кальций	Kal'ci'	Кальци	カルシウム [karushiumu]	鈣	แคลเซียม	Canxi	Kalsium	كلسيوم	Kalsjum	סידן	Kalcio
